Name	Birthdate	Photo	Bio
Zakir Houssein	09/03/1951	zakir-houssein.jpg	Ustad Zakir Hussain is an Indian tabla player, composer, percussionist, music producer and film actor.
Anouar Brahem	20/10/1957	anouar-brahem.jpg	Anouar Brahem is a Tunisian oud player and composer. He is widely acclaimed as an innovator in his field
Baaba Maal	13/06/1953	baaba-maal.jpg	Baaba Maal is a Senegalese singer and guitarist born in Podor, on the Senegal River. In addition to acoustic guitar, he also plays percussion.
Mohammed Abdu	12/06/1949	mohammed-abdu.jpg	Mohammed Abdu is a Saudi singer who is renowned across the Middle East and Arab world. He has been described as “Artist of the Arabs”.
